Dungeon,Boss File,Trash File,Boss Rows,Trash Rows
Seat of the Triumvirate,seat-of-the-triumvirate_bosses.csv,seat-of-the-triumvirate_trash.csv,4,5
Skyreach,skyreach_bosses.csv,skyreach_trash.csv,4,6
Magisters' Terrace,magisters-terrace_bosses.csv,magisters-terrace_trash.csv,4,7
Pit of Saron,pit-of-saron_bosses.csv,pit-of-saron_trash.csv,3,6
Algeth'ar Academy,algethar-academy_bosses.csv,algethar-academy_trash.csv,4,6
Nexus-Point Xenas,nexus-point-xenas_bosses.csv,nexus-point-xenas_trash.csv,3,6
Windrunner Spire,windrunner-spire_bosses.csv,windrunner-spire_trash.csv,4,6
Maisara Caverns,maisara-caverns_bosses.csv,maisara-caverns_trash.csv,3,7
